"","Institution","FourStarMean","ThreeStarMean","TwoStarMean","OneStarMean","UnclassifiedMean"
"1","Aberystwyth University",16.0588235294118,46.1176470588235,31.2941176470588,6,0.529411764705882
"2","Anglia Ruskin University",6.46666666666667,36.1333333333333,42.0666666666667,12.8666666666667,2.46666666666667
"3","Arts University Bournemouth",7,36,38,18,1
"4","Aston University",24.7142857142857,49.4285714285714,24,1.71428571428571,0.142857142857143
"5","Bangor University",24.3571428571429,50.2142857142857,21.4285714285714,3.21428571428571,0.785714285714286
"6","Bath Spa University",12.1666666666667,39,35.3333333333333,12.3333333333333,1.16666666666667
"7","Birkbeck College",27.8571428571429,45.8571428571429,22.8571428571429,3.07142857142857,0.357142857142857
"8","Birmingham City University",12,41.0909090909091,34.9090909090909,10.6363636363636,1.36363636363636
"9","Bishop Grosseteste University",6.66666666666667,16,50.6666666666667,23.3333333333333,3.33333333333333
"10","Bournemouth University",17.5,44,34,4.25,0.25
"11","Brunel University London",16.1428571428571,44.8571428571429,31.4285714285714,6.66666666666667,0.904761904761905
"12","Buckinghamshire New University",6,28.75,45,16.25,4
"13","Canterbury Christ Church University",6.7,38.9,41.9,11.2,1.3
"14","Cardiff Metropolitan University",24,54.6666666666667,18.6666666666667,2,0.666666666666667
"15","Cardiff University",37.3703703703704,47.962962962963,13.1481481481481,1.40740740740741,0.111111111111111
"16","City University London",20.5833333333333,51.9166666666667,23,3.41666666666667,1.08333333333333
"17","Courtauld Institute of Art",56,39,4,0,1
"18","Coventry University",12,48.1111111111111,32.5555555555556,7.11111111111111,0.222222222222222
"19","Cranfield University",26.6666666666667,50,22.3333333333333,1,0
"20","De Montfort University",17.5,42.3333333333333,34.25,5.33333333333333,0.583333333333333
"21","Edge Hill University",6.91666666666667,31.1666666666667,39,19.25,3.66666666666667
"22","Edinburgh Napier University",10.6666666666667,43,37.6666666666667,7.33333333333333,1.33333333333333
"23","Falmouth University",7,21,48.5,16,7.5
"24","Glasgow Caledonian University",10.3333333333333,45,37.1111111111111,7.33333333333333,0.222222222222222
"25","Glasgow School of Art",23,38,31,8,0
"26","Glynd?r University",4,25.75,42,26.75,1.5
"27","Goldsmiths' College",22.5384615384615,44.8461538461538,29.3076923076923,2.76923076923077,0.538461538461538
"28","Guildhall School of Music & Drama",21,30,31,8,10
"29","Harper Adams University",10,46,44,0,0
"30","Heriot-Watt University",23.9166666666667,51.1666666666667,20.6666666666667,3.5,0.75
"31","Heythrop College",22,40,36,2,0
"32","Imperial College London",46.7142857142857,46.1428571428571,6.57142857142857,0.5,0.0714285714285714
"33","Institute of Cancer Research",52,41,6.5,0,0.5
"34","Institute of Zoology",22,68,10,0,0
"35","Keele University",17.8823529411765,47.8823529411765,30.2352941176471,3.35294117647059,0.647058823529412
"36","King's College London",38.6666666666667,45.1851851851852,14.1481481481481,1.62962962962963,0.37037037037037
"37","Kingston University",14.3333333333333,42.5555555555556,37.3333333333333,5.44444444444444,0.333333333333333
"38","Lancaster University",32.0625,50.25,15.8125,1.6875,0.1875
"39","Leeds Beckett University",5.45454545454545,21.9090909090909,41.9090909090909,27.1818181818182,3.54545454545455
"40","Leeds Trinity University",4,22.2,49.6,18.2,6
"41","Liverpool Hope University",5.16666666666667,28.9166666666667,41.5,22,2.41666666666667
"42","Liverpool John Moores University",11.9411764705882,49.7647058823529,33.5294117647059,3.82352941176471,0.941176470588235
"43","Liverpool School of Tropical Medicine",34.5,45.5,19,1,0
"44","London Business School",56,26,12,3,3
"45","London Metropolitan University",9.5,35,36.6666666666667,16.25,2.58333333333333
"46","London School of Economics and Political Science",46.3571428571429,39,12.8571428571429,1.28571428571429,0.5
"47","London School of Hygiene & Tropical Medicine",41.5,36,21,1,0.5
"48","London South Bank University",6.42857142857143,45.5714285714286,37.7142857142857,9.28571428571429,1
"49","Loughborough University",22,48.5,25.7222222222222,3.61111111111111,0.166666666666667
"50","Manchester Metropolitan University",13,48.6153846153846,32.3076923076923,5.15384615384615,0.923076923076923
"51","Middlesex University",12.3,46.7,32.4,7.3,1.3
"52","Newcastle University",29.4285714285714,48.2142857142857,20.7857142857143,1.28571428571429,0.285714285714286
"53","Newman University",3.66666666666667,26.5,45.6666666666667,20.6666666666667,3.5
"54","Norwich University of the Arts",19,36,40,5,0
"55","Nottingham Trent University",13.4375,39.5,37.5,8.5,1.0625
"56","Open University",20.2222222222222,50.4444444444444,27.3333333333333,1.72222222222222,0.277777777777778
"57","Oxford Brookes University",13.1176470588235,42.2352941176471,36.7647058823529,7,0.882352941176471
"58","Queen's University Belfast",24.6071428571429,51.4642857142857,21.7857142857143,1.85714285714286,0.285714285714286
"59","Queen Margaret University Edinburgh",14,39.8,38,8.2,0
"60","Queen Mary University of London",33.4761904761905,52.5238095238095,12.6190476190476,1.04761904761905,0.333333333333333
"61","Robert Gordon University",8.22222222222222,35.4444444444444,43.3333333333333,12.1111111111111,0.888888888888889
"62","Roehampton University",20.6923076923077,43.3076923076923,30.2307692307692,5.61538461538461,0.153846153846154
"63","Rose Bruford College",7,42,30,15,6
"64","Royal Academy of Music",21,40,34,3,2
"65","Royal Agricultural University",3,4,39,38,16
"66","Royal Central School of Speech and Drama",39,31,25,4,1
"67","Royal College of Art",37,40,17,6,0
"68","Royal College of Music",34,39,22,4,1
"69","Royal Conservatoire of Scotland",26,41,26,6,1
"70","Royal Holloway, University of London",30.3529411764706,50.5882352941176,17.1764705882353,1.47058823529412,0.411764705882353
"71","Royal Northern College of Music",36,39,22,3,0
"72","Royal Veterinary College",35,44,18,3,0
"73","School of Oriental and African Studies",25.4545454545455,42.7272727272727,27,3.90909090909091,0.909090909090909
"74","Sheffield Hallam University",17.2727272727273,46.1818181818182,29.9090909090909,6.18181818181818,0.454545454545455
"75","Southampton Solent University",2,17.25,35,29.25,16.5
"76","SRUC",42,32,23,3,0
"77","St Mary's University College",0,0,20,67,13
"78","St Mary's University, Twickenham",10.8571428571429,20.8571428571429,35.1428571428571,29.1428571428571,4
"79","St.George's, University of London",30.5,45,23.5,1,0
"80","Staffordshire University",6,30,41.375,21.75,0.875
"81","Stranmillis University College",20,24,28,28,0
"82","Swansea University",27.9444444444444,47.5555555555556,22,2.22222222222222,0.277777777777778
"83","Teesside University",8.75,48.25,33.5,8,1.5
"84","The University of West London",8.2,17.8,36.4,35,2.6
"85","Trinity Laban Conservatoire of Music and Dance",18,50,24,8,0
"86","University College London",39,42.0277777777778,16,2.41666666666667,0.555555555555556
"87","University for the Creative Arts",17,47,29,5,2
"88","University of Aberdeen",22.4,50.76,23.08,3.52,0.24
"89","University of Abertay Dundee",6.14285714285714,25.2857142857143,50,15,3.57142857142857
"90","University of Bath",30.7692307692308,55.9230769230769,11.6153846153846,1.38461538461538,0.307692307692308
"91","University of Bedfordshire",13.8181818181818,31.3636363636364,40.8181818181818,12.1818181818182,1.81818181818182
"92","University of Birmingham",29.4545454545455,52.5454545454545,15.8181818181818,1.78787878787879,0.393939393939394
"93","University of Bolton",5.28571428571429,21.1428571428571,39.4285714285714,25.7142857142857,8.42857142857143
"94","University of Bradford",22.1428571428571,46.2857142857143,26.8571428571429,3.28571428571429,1.42857142857143
"95","University of Brighton",18.7,45.7,30.1,5,0.5
"96","University of Bristol",33,46.2258064516129,18.7096774193548,1.93548387096774,0.129032258064516
"97","University of Cambridge",44.34375,40.90625,13.15625,1.3125,0.28125
"98","University of Central Lancashire",8.25,40.3125,42.75,8.1875,0.5
"99","University of Chester",5.8125,21.9375,43.1875,24.25,4.8125
"100","University of Chichester",12.4,32.6,43.6,10.2,1.2
"101","University of Cumbria",6.83333333333333,26,47.5,18.6666666666667,1
"102","University of Derby",4.8,24.1,45.2,23.1,2.8
"103","University of Dundee",24.2,45,26.5,3.6,0.7
"104","University of Durham",33.1304347826087,49,16.1304347826087,1.34782608695652,0.391304347826087
"105","University of East Anglia",29.75,51.875,16.9166666666667,1.25,0.208333333333333
"106","University of East London",14.1538461538462,41.6923076923077,34,9.69230769230769,0.461538461538462
"107","University of Edinburgh",34.5483870967742,44.9032258064516,18.2903225806452,2,0.258064516129032
"108","University of Essex",29.2857142857143,48.2142857142857,20.7857142857143,1.57142857142857,0.142857142857143
"109","University of Exeter",28.8,52.44,16.6,1.92,0.24
"110","University of Glasgow",28.125,49.59375,19.46875,2.625,0.1875
"111","University of Gloucestershire",8.83333333333333,32.5,40.1666666666667,18.1666666666667,0.333333333333333
"112","University of Greenwich",8.31578947368421,33.0526315789474,42.4736842105263,13.9473684210526,2.21052631578947
"113","University of Hertfordshire",11.8461538461538,43.6923076923077,36.5384615384615,7.07692307692308,0.846153846153846
"114","University of Huddersfield",13.6153846153846,43.8461538461538,35.4615384615385,6,1.07692307692308
"115","University of Hull",12.4375,45.6875,35.4375,5.9375,0.5
"116","University of Kent",23.3478260869565,47.6086956521739,25.5652173913043,3.04347826086957,0.434782608695652
"117","University of Leeds",32.6969696969697,49.6363636363636,15.8787878787879,1.72727272727273,0.0606060606060606
"118","University of Leicester",20.04,53.92,23.32,2.44,0.28
"119","University of Lincoln",11.3529411764706,38.3529411764706,38.7647058823529,9.88235294117647,1.64705882352941
"120","University of Liverpool",25.0769230769231,52.6538461538462,19.6538461538462,2.53846153846154,0.0769230769230769
"121","University of London Institute in Paris",0,22,25,38,15
"122","University of Manchester",32.8857142857143,48.3714285714286,16.9428571428571,1.4,0.4
"123","University of Northampton",4.33333333333333,26.1111111111111,47.3333333333333,18.4444444444444,3.77777777777778
"124","University of Northumbria at Newcastle",13.8125,43.0625,37,6.0625,0.0625
"125","University of Nottingham",30.96875,47.0625,19.28125,1.90625,0.78125
"126","University of Oxford",47.4838709677419,38.3225806451613,12.5483870967742,1.48387096774194,0.161290322580645
"127","University of Plymouth",15.3333333333333,48.2777777777778,31.6111111111111,3.66666666666667,1.11111111111111
"128","University of Portsmouth",14.4666666666667,46.8666666666667,34,4.26666666666667,0.4
"129","University of Reading",24.4782608695652,52,21.6521739130435,1.82608695652174,0.0434782608695652
"130","University of Salford",10.0769230769231,40,39.7692307692308,8.30769230769231,1.84615384615385
"131","University of Sheffield",31.9142857142857,52.3142857142857,14.3142857142857,1.22857142857143,0.228571428571429
"132","University of South Wales",11.4166666666667,37,38.9166666666667,10.75,1.91666666666667
"133","University of Southampton",33,48.4230769230769,16.8846153846154,1.42307692307692,0.269230769230769
"134","University of St Andrews",31.3,49.75,17.4,1.45,0.1
"135","University of Stirling",23.1333333333333,48.8,25.2,2.86666666666667,0
"136","University of Strathclyde",24.5882352941176,50.2352941176471,22,2.76470588235294,0.411764705882353
"137","University of Sunderland",5,23.0769230769231,44,25.0769230769231,2.84615384615385
"138","University of Surrey",20.5333333333333,50.6666666666667,25.2666666666667,3.33333333333333,0.2
"139","University of Sussex",24.5,49.9583333333333,23.2916666666667,1.83333333333333,0.416666666666667
"140","University of the Arts, London",31,52,15,2,0
"141","University of the Highlands and Islands",14,51.6666666666667,29.5,3.83333333333333,1
"142","University of the West of England, Bristol",13.9411764705882,43.3529411764706,35.0588235294118,7.11764705882353,0.529411764705882
"143","University of the West of Scotland",6.88888888888889,37.8888888888889,42.1111111111111,12.2222222222222,0.888888888888889
"144","University of Ulster",21.55,46.35,27.25,4.15,0.7
"145","University of Wales",26,39,29,6,0
"146","University of Wales Trinity Saint David",12.6666666666667,34.1666666666667,39.3333333333333,12.3333333333333,1.5
"147","University of Warwick",37.2608695652174,48.9565217391304,12.695652173913,0.956521739130435,0.130434782608696
"148","University of Westminster",17.4615384615385,41.4615384615385,32,7.76923076923077,1.30769230769231
"149","University of Winchester",7,33.125,40.625,17.625,1.625
"150","University of Wolverhampton",8.84615384615385,31.5384615384615,44.9230769230769,12.0769230769231,2.61538461538462
"151","University of Worcester",5.18181818181818,28.7272727272727,41,21.6363636363636,3.45454545454545
"152","University of York",34.1666666666667,48,15.875,1.54166666666667,0.416666666666667
"153","Writtle College",0,15,21,29,35
"154","York St John University",6,24.7777777777778,42,21.1111111111111,6.11111111111111
