UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10007850,12,,Environment,15,85,0,0,0
10007850,12,,Impact,38.6,61.4,0,0,0
10007850,12,,Outputs,13.3,70,16.7,0,0
10007850,12,,Overall,19,70,11,0,0
10006840,12,A,Environment,10,90,0,0,0
10006840,12,A,Impact,10,76.7,13.3,0,0
10006840,12,A,Outputs,16,65.5,18.5,0,0
10006840,12,A,Overall,14,71,15,0,0
10006840,12,B,Environment,25,75,0,0,0
10006840,12,B,Impact,70,30,0,0,0
10006840,12,B,Outputs,14,65.8,20.2,0,0
10006840,12,B,Overall,27,60,13,0,0
10007785,12,,Environment,0,25,75,0,0
10007785,12,,Impact,0,63.3,36.7,0,0
10007785,12,,Outputs,14.3,57.1,25.4,1.6,1.6
10007785,12,,Overall,9,54,35,1,1
10000886,12,,Environment,0,75,25,0,0
10000886,12,,Impact,0,50,50,0,0
10000886,12,,Outputs,11.1,59.3,18.5,11.1,0
10000886,12,,Overall,7,60,26,7,0
10000961,12,,Environment,0,85,15,0,0
10000961,12,,Impact,0,71.4,28.6,0,0
10000961,12,,Outputs,9.4,54.9,31.8,3.9,0
10000961,12,,Overall,6,63,28,3,0
10007788,12,,Environment,75,25,0,0,0
10007788,12,,Impact,50,30,20,0,0
10007788,12,,Outputs,40,54.5,4.6,0.9,0
10007788,12,,Overall,47,45,7,1,0
10007822,12,,Environment,50,50,0,0,0
10007822,12,,Impact,31.2,45.3,23.5,0,0
10007822,12,,Outputs,19.3,63,17.5,0.2,0
10007822,12,,Overall,26,58,16,0,0
10007146,12,,Environment,0,25,75,0,0
10007146,12,,Impact,30,70,0,0,0
10007146,12,,Outputs,16.7,61.1,22.2,0,0
10007146,12,,Overall,17,57,26,0,0
10003270,12,,Environment,85,15,0,0,0
10003270,12,,Impact,75.6,20,2.2,2.2,0
10003270,12,,Outputs,27.8,56.6,15.4,0.2,0
10003270,12,,Overall,46,43,10,1,0
10007795,12,,Environment,30,70,0,0,0
10007795,12,,Impact,60,40,0,0,0
10007795,12,,Outputs,20,55.8,24.2,0,0
10007795,12,,Overall,30,54,16,0,0
10003957,12,,Environment,0,0,100,0,0
10003957,12,,Impact,0,30,70,0,0
10003957,12,,Outputs,2.6,57.9,36.9,2.6,0
10003957,12,,Overall,2,43,53,2,0
10007784,12,,Environment,10,90,0,0,0
10007784,12,,Impact,36.7,63.3,0,0,0
10007784,12,,Outputs,22.5,62.5,14,0.5,0.5
10007784,12,,Overall,23,67,9,1,0
10004113,12,,Environment,45,55,0,0,0
10004113,12,,Impact,48.6,40,11.4,0,0
10004113,12,,Outputs,14.7,62.3,21.9,0.9,0.2
10004113,12,,Overall,26,57,16,1,0
10007798,12,A,Environment,40,60,0,0,0
10007798,12,A,Impact,60,40,0,0,0
10007798,12,A,Outputs,18.2,65.9,15.9,0,0
10007798,12,A,Overall,30,60,10,0,0
10007798,12,B,Environment,25,75,0,0,0
10007798,12,B,Impact,60,40,0,0,0
10007798,12,B,Outputs,17.1,58.9,23.3,0,0.7
10007798,12,B,Overall,27,57,16,0,0
10007799,12,,Environment,10,90,0,0,0
10007799,12,,Impact,16,76,8,0,0
10007799,12,,Outputs,25,48.7,26.3,0,0
10007799,12,,Overall,21,60,19,0,0
10007138,12,,Environment,0,0,60,40,0
10007138,12,,Impact,0,40,40,20,0
10007138,12,,Outputs,0,14.8,77.8,7.4,0
10007138,12,,Overall,0,18,67,15,0
10007155,12,,Environment,0,0,65,35,0
10007155,12,,Impact,0,50,50,0,0
10007155,12,,Outputs,2.3,59.1,38.6,0,0
10007155,12,,Overall,1,49,45,5,0
10007157,12,A,Environment,30,70,0,0,0
10007157,12,A,Impact,26,74,0,0,0
10007157,12,A,Outputs,18.2,64.9,16.9,0,0
10007157,12,A,Overall,22,67,11,0,0
10007157,12,B,Environment,15,85,0,0,0
10007157,12,B,Impact,30,50,20,0,0
10007157,12,B,Outputs,14.3,74.7,9.9,1.1,0
10007157,12,B,Overall,18,71,10,1,0
10007159,12,,Environment,0,0,10,75,15
10007159,12,,Impact,0,0,80,20,0
10007159,12,,Outputs,2.5,35,57.5,5,0
10007159,12,,Overall,2,22,55,19,2
10007166,12,,Environment,0,25,65,10,0
10007166,12,,Impact,0,10,90,0,0
10007166,12,,Outputs,2.1,22.9,72.9,2.1,0
10007166,12,,Overall,1,21,75,3,0
10007805,12,,Environment,50,50,0,0,0
10007805,12,,Impact,30,50,20,0,0
10007805,12,,Outputs,15.7,59.4,22.9,2,0
10007805,12,,Overall,24,56,19,1,0
10005343,12,,Environment,10,80,10,0,0
10005343,12,,Impact,13.3,80,6.7,0,0
10005343,12,,Outputs,10.5,74.8,14.7,0,0
10005343,12,,Overall,11,77,12,0,0
