,A*,A,B,C,Av. Rank
10007760,4,15,10,3,2.625
10006840,4,62,36,16,2.457627118644068
10007785,1,7,7,5,2.0952380952380953
10007786,3,25,22,10,2.238095238095238
10000961,6,25,23,3,2.5964912280701755
10007788,10,23,10,7,2.72
10001143,2,6,7,7,2.0434782608695654
10001478,1,12,7,2,2.4347826086956523
10001726,4,4,6,8,2.0869565217391304
10007143,3,15,9,7,2.342857142857143
10007789,2,14,12,1,2.586206896551724
10007791,30,34,8,3,3.2133333333333334
10007792,13,46,12,3,2.9324324324324325
10002718,1,10,10,2,2.4347826086956523
10007149,0,8,22,4,2.1176470588235294
10007767,2,21,10,1,2.7058823529411766
10007150,2,37,19,12,2.380281690140845
10003645,26,79,70,25,2.53
10007795,2,27,21,4,2.5
10007796,0,16,15,7,2.236842105263158
10007151,0,2,11,3,1.9375
10006842,0,1,7,3,1.8181818181818181
10003956,0,3,3,1,2.2857142857142856
10007784,19,36,13,7,2.8933333333333335
10004063,49,87,17,9,3.0864197530864197
10004048,0,1,2,3,1.6666666666666667
10007798,18,38,28,4,2.7333333333333334
10007799,3,20,18,5,2.4565217391304346
10007154,8,41,24,13,2.511627906976744
10007780,15,28,7,3,2.9814814814814814
10007774,10,42,12,6,2.8
10004930,3,9,8,5,2.4
10007775,5,24,14,10,2.452830188679245
10007802,1,16,3,3,2.652173913043478
10005553,6,26,12,2,2.782608695652174
10007157,3,28,4,3,2.8157894736842106
10007158,6,13,5,2,2.7777777777777777
10007160,0,5,3,4,2.0833333333333335
10007806,6,22,16,5,2.5918367346938775
10007163,19,69,24,17,2.6564885496183206
10007164,1,6,4,8,2.0
10007165,3,14,11,3,2.46875
10007167,6,33,11,3,2.792452830188679
10007783,3,13,8,6,2.433333333333333
10007852,0,2,7,3,1.9166666666666667
10007790,9,34,17,12,2.5555555555555554
10007794,8,27,17,7,2.610169491525424
10005500,5,4,3,4,2.4705882352941178
10007803,3,30,16,8,2.4482758620689653
10007805,10,24,9,6,2.7755102040816326
10007856,5,20,29,5,2.4237288135593222
10007814,3,12,4,3,2.6818181818181817
10007855,0,9,6,4,2.263157894736842
10005343,2,23,28,10,2.2
10008026,0,0,2,0,2.0
10007807,1,10,14,1,2.3333333333333335
