,2* + 1* Output (%),4* Output (%),Income per Submission (millions)
0,71.0,0.0,0.019182238095238092
1,62.0,5.0,0.012297875
2,63.0,12.0,0.0094598125
3,18.0,47.0,0.06016267647058823
4,61.0,11.0,0.0251695
5,68.0,6.0,0.004190476190476191
6,67.0,2.0,0.1571245588235294
7,55.0,9.0,0.02343675862068965
8,20.0,44.0,0.04204149350649351
9,40.0,13.0,0.013375573770491802
10,22.0,54.0,0.038315251700680265
11,45.0,5.0,0.033578663265306126
12,67.0,11.0,0.002731888888888889
13,75.0,0.0,0.011176470588235295
14,66.0,9.0,0.028956000000000003
15,19.0,50.0,0.3215705208333333
16,20.0,14.0,0.006382551020408163
17,43.0,10.0,0.026676484848484852
18,64.0,9.0,0.007885520833333333
19,16.0,44.0,0.04901573267326732
20,39.0,15.0,0.0220354358974359
21,76.0,3.0,0.008817463414634146
22,46.0,13.0,0.009634895833333332
23,64.0,10.0,0.008702750000000002
24,11.0,54.0,0.03735999999999999
25,22.0,25.0,0.0301420487804878
26,25.0,23.0,0.014700000000000001
27,69.0,4.0,0.013000419999999999
28,39.0,12.0,0.019662827956989246
29,58.0,12.0,0.038598208333333335
30,47.0,15.0,0.008973314285714285
31,36.0,10.0,0.02039318
32,46.0,17.0,0.09788228345498787
33,47.0,15.0,0.14947
34,15.0,28.0,0.024628914285714284
35,22.0,36.0,0.03423821374045802
36,33.0,23.0,0.01993735227272727
37,29.0,21.0,0.035155391304347826
38,63.0,11.0,0.027446266666666667
39,73.0,2.0,0.0297148679245283
40,15.0,55.0,0.09675268817204302
41,73.0,6.0,0.0024249285714285714
42,31.0,38.0,0.04795052475247525
43,8.0,65.0,0.057105296296296286
44,62.0,11.0,0.003233488372093023
45,46.0,9.0,0.0338016219512195
46,24.0,29.0,0.012342934426229506
47,29.0,20.0,0.029460431034482763
48,71.0,7.0,0.00017732000000000002
49,6.0,38.0,0.0229391320754717
50,30.0,12.0,0.11682259615384614
51,22.0,31.0,0.022671000000000004
52,54.0,16.0,0.00248125
53,72.0,5.0,0.01160167088607595
54,27.0,25.0,0.0818695087719298
55,24.0,32.0,0.05979942657342657
56,47.0,20.0,0.02945181395348837
57,73.0,5.0,0.00475
58,51.0,12.0,0.024993833333333333
59,59.0,5.0,0.03317173809523809
60,67.0,7.0,0.0032933653846153846
61,18.0,44.0,0.08272900000000002
62,79.0,3.0,0.0023897500000000004
63,33.0,8.0,0.059434848484848486
64,26.0,9.0,0.02703056756756757
65,21.0,43.0,0.056290492537313434
66,26.0,32.0,0.028342388157894735
67,57.0,8.0,0.027859739130434786
68,19.0,22.0,0.030958812500000002
69,33.0,16.0,0.03834141304347826
70,55.0,4.0,0.007404255319148937
71,16.0,48.0,0.09278421794871795
72,13.0,35.0,0.15909792771084338
73,56.0,20.0,0.054849999999999996
74,40.0,24.0,0.06360043902439025
