 10007774, 192, 49, 0.255
 10003270, 212, 103, 0.486
 10007788, 155, 34, 0.219
 10007786, 253, 135, 0.534
 10007784, 586, 240, 0.410
 10007775, 69, 22, 0.319
 10007771, 858, 320, 0.373
 10007167, 205, 102, 0.498
 10003958, 19, 13, 0.684
 10007163, 116, 114, 0.983
 10007154, 114, 43, 0.377
 10006842, 114, 51, 0.447
 10007157, 273, 81, 0.297
 10007158, 43, 26, 0.605
 10003645, 81, 31, 0.383
 10007814, 103, 55, 0.534
 10007767, 37, 22, 0.595
 10007796, 84, 26, 0.310
 10007783, 182, 85, 0.467
 10007782, 41, 35, 0.854
 10007795, 101, 64, 0.634
 10006840, 154, 152, 0.987
 10007792, 89, 37, 0.416
 10007794, 178, 89, 0.500
 10007799, 104, 48, 0.462
 10007852, 57, 20, 0.351
 10005343, 106, 106, 1.000
 10007789, 56, 36, 0.643
 10000961, 42, 21, 0.500
 10007798, 137, 49, 0.358
 10007155, 27, 16, 0.593
 10003861, 93, 16, 0.172
