UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10000961,24,,Environment,0,12.5,87.5,0,0
10000961,24,,Impact,40,0,20,40,0
10000961,24,,Outputs,14.7,50,35.3,0,0
10000961,24,,Overall,18,34,40,8,0
10007788,24,,Environment,50,50,0,0,0
10007788,24,,Impact,48,52,0,0,0
10007788,24,,Outputs,22,36.9,36.1,2.9,2.1
10007788,24,,Overall,31,42,24,2,1
10007143,24,,Environment,12.5,87.5,0,0,0
10007143,24,,Impact,53.3,46.7,0,0,0
10007143,24,,Outputs,27.4,32.6,30.5,6.3,3.2
10007143,24,,Overall,30,44,20,4,2
10007789,24,,Environment,75,25,0,0,0
10007789,24,,Impact,46.7,40,13.3,0,0
10007789,24,,Outputs,23,41,33,3,0
10007789,24,,Overall,36,38,24,2,0
10002718,24,,Environment,25,75,0,0,0
10002718,24,,Impact,40,60,0,0,0
10002718,24,,Outputs,17.9,43.6,28.2,5.2,5.1
10002718,24,,Overall,23,52,18,4,3
10007146,24,,Environment,12.5,62.5,25,0,0
10007146,24,,Impact,20,80,0,0,0
10007146,24,,Outputs,0,27.8,66.6,2.8,2.8
10007146,24,,Overall,6,43,47,2,2
10007150,24,,Environment,25,62.5,12.5,0,0
10007150,24,,Impact,10,50,40,0,0
10007150,24,,Outputs,8.7,42.8,38.8,8.7,1
10007150,24,,Overall,11,48,35,5,1
10003957,24,,Environment,0,62.5,37.5,0,0
10003957,24,,Impact,40,20,0,0,40
10003957,24,,Outputs,16.1,32.3,41.9,9.7,0
10003957,24,,Overall,18,35,33,6,8
10007784,24,,Environment,100,0,0,0,0
10007784,24,,Impact,40,40,0,20,0
10007784,24,,Outputs,26.3,31.3,27.1,11.1,4.2
10007784,24,,Overall,40,28,18,11,3
10004063,24,A,Environment,25,50,25,0,0
10004063,24,A,Impact,26.7,0,46.6,26.7,0
10004063,24,A,Outputs,31.5,41.1,23.3,1.4,2.7
10004063,24,A,Overall,30,34,28,6,2
10004063,24,B,Environment,25,75,0,0,0
10004063,24,B,Impact,66.7,33.3,0,0,0
10004063,24,B,Outputs,20.8,49.3,23.4,6.5,0
10004063,24,B,Overall,31,50,15,4,0
10007798,24,A,Environment,50,50,0,0,0
10007798,24,A,Impact,50,50,0,0,0
10007798,24,A,Outputs,27.3,42.4,27.3,1.5,1.5
10007798,24,A,Overall,35,45,18,1,1
10007798,24,B,Environment,62.5,37.5,0,0,0
10007798,24,B,Impact,70,30,0,0,0
10007798,24,B,Outputs,21.4,44.6,29.1,3.9,1
10007798,24,B,Overall,37,41,19,2,1
10007773,24,,Environment,75,25,0,0,0
10007773,24,,Impact,23.3,76.7,0,0,0
10007773,24,,Outputs,12.5,40.3,41.6,5.6,0
10007773,24,,Overall,24,45,27,4,0
10007780,24,A,Environment,25,50,25,0,0
10007780,24,A,Impact,26.7,20,53.3,0,0
10007780,24,A,Outputs,23.9,35.8,35.8,3,1.5
10007780,24,A,Overall,25,34,38,2,1
10007780,24,B,Environment,12.5,62.5,25,0,0
10007780,24,B,Impact,24,34,26,16,0
10007780,24,B,Outputs,15.3,44.6,31.2,8.9,0
10007780,24,B,Overall,17,45,29,9,0
10007774,24,A,Environment,37.5,62.5,0,0,0
10007774,24,A,Impact,34.3,60,5.7,0,0
10007774,24,A,Outputs,16.8,35,41.9,5.8,0.5
10007774,24,A,Overall,23,45,28,4,0
10007774,24,B,Environment,87.5,12.5,0,0,0
10007774,24,B,Impact,60,32,8,0,0
10007774,24,B,Outputs,23.3,46.6,29.3,0.8,0
10007774,24,B,Overall,40,39,20,1,0
10007776,24,,Environment,0,75,25,0,0
10007776,24,,Impact,0,60,40,0,0
10007776,24,,Outputs,16.3,41.8,32.6,7,2.3
10007776,24,,Overall,11,50,33,5,1
10007806,24,,Environment,37.5,62.5,0,0,0
10007806,24,,Impact,50,50,0,0,0
10007806,24,,Outputs,13.4,38.8,44.8,3,0
10007806,24,,Overall,24,45,29,2,0
10007783,24,,Environment,87.5,12.5,0,0,0
10007783,24,,Impact,10,50,40,0,0
10007783,24,,Outputs,12.5,35,45,7.5,0
10007783,24,,Overall,23,35,37,5,0
10007790,24,,Environment,62.5,37.5,0,0,0
10007790,24,,Impact,60,40,0,0,0
10007790,24,,Outputs,17.4,36.7,45,0.9,0
10007790,24,,Overall,33,37,29,1,0
10005337,24,,Environment,0,62.5,37.5,0,0
10005337,24,,Impact,0,60,40,0,0
10005337,24,,Outputs,12.5,34.4,34.4,18.7,0
10005337,24,,Overall,8,44,36,12,0
10007803,24,,Environment,12.5,62.5,25,0,0
10007803,24,,Impact,0,100,0,0,0
10007803,24,,Outputs,13.5,38.4,34.6,13.5,0
10007803,24,,Overall,11,54,26,9,0
10005343,24,,Environment,62.5,37.5,0,0,0
10005343,24,,Impact,100,0,0,0,0
10005343,24,,Outputs,19,31,45.2,4.8,0
10005343,24,,Overall,42,26,29,3,0
