UKPRN,UnitOfAssessment,MultipleSubmission,TotalCategoryAFte,TotalCategoryCHeadCount,TotalHeadCount
10007760,32,,12.3,0,14
10006840,32,,14,0,18
10007786,32,,14.5,0,15
10007788,32,A,18.2,0,20
10007788,32,B,34.96,0,37
10007143,32,,18.85,0,20
10007789,32,,6.3,0,7
10007791,32,,9.5,0,10
10007147,32,,9.5,0,12
10007149,32,,7.2,0,8
10007767,32,,4,0,4
10007150,32,,13.2,0,15
10003645,32,,24.05,0,26
10003678,32,,6.2,0,8
10007795,32,,25,0,25
10006842,32,,8,0,8
10007784,32,,23.95,0,25
10004063,32,,16.5,0,18
10007798,32,,12.7,0,14
10004180,32,,8,0,8
10007154,32,,13,0,13
10007773,32,,8,0,8
10007774,32,,71.5,0,72
10004930,32,,6.3,0,7
10007802,32,,11.2,0,14
10007843,32,,4.8,0,6
10007157,32,,19.2,0,20
10007158,32,,12,0,12
10007806,32,,10.5,0,11
10007163,32,,19,0,19
10007164,32,,6,0,6
10007167,32,,18.3,0,19
10007783,32,,13.25,0,19
10007852,32,,5,0,5
10007790,32,,23.6,0,26
10007794,32,,11,0,11
10007803,32,,22.59,0,30
10007804,32,,12.4,0,15
10007814,32,,10,0,10
10005343,32,,6,0,6
